LIBID,ZIP,POPU_LSA,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,TOTINCM,TOTEXPCO,TOTOPEXP,BKVOL,EBOOK,AUDIO_PH,VIDEO_PH,HRS_OPEN,VISITS,ELMATCIR,PHYSCIR,ELINFO,TOTCOLL,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN
KS0265,66963,62,0,0.25,0.25,5411,5604,11015,2438,10349,4000,151751,6,50,480,826,1,544,23,568,27,27,0,77,77,0
KS0291,67664,123,0,0.23,0.23,5402,6535,12736,809,8883,4491,151751,150,50,572,1338,1204,754,23,1981,20,13,6,70,54,8
KS0094,66942,84,0,0.25,0.25,4455,4992,9447,650,7990,5138,151751,0,155,520,1678,196,1621,79,1896,95,37,0,670,109,0
KS0194,67647,123,0,0.33,0.41,1335,6535,9970,1495,9198,2624,151751,52,188,802,1697,203,946,4,1153,69,41,8,332,262,10
KS0264,66964,108,0,0.25,0.25,7039,6231,15300,1575,11732,3535,151751,102,529,520,658,15,232,61,308,39,34,0,155,88,0
KS0104,67638,105,0,0,0,1501,30,1531,440,1833,7020,108101,9,0,312,247,0,759,0,759,0,0,0,0,0,0
KS0208,67556,249,0,0.44,0.44,22466,6171,31483,2192,15918,10821,151751,85,200,884,4500,121,1850,0,1971,38,13,0,54,29,0
KS0168,67644,158,0,0.68,0.98,3466,4845,8811,1351,5870,6287,151751,58,410,1404,1300,742,1025,61,1828,21,21,0,172,172,0
KS0023,67520,237,0.38,0.38,0.38,5150,6568,15229,973,16469,4145,151751,57,496,780,1428,213,1200,65,1478,27,15,1,111,46,11
KS0035,66936,330,0,0.53,0.53,17690,6594,24284,1552,23330,9168,151751,251,762,1092,2254,323,2194,78,2595,48,19,5,470,237,78
KS0247,67657,274,0,0.38,0.38,6024,7126,13569,187,15508,2499,151751,192,163,780,966,883,435,133,1451,40,24,1,176,88,1
KS0292,67481,272,0,0.38,0.38,9067,6578,16695,1912,15077,7206,151751,45,1254,728,5498,461,9885,0,10346,78,67,6,1339,1210,50
KS0089,67621,248,0,0.35,0.35,3865,6572,11037,1723,9928,1311,151997,113,582,728,2200,529,1088,51,1668,3,3,0,75,75,0
KS0174,66952,199,0,0.5,0.5,7711,6124,17765,885,18972,5294,151751,42,397,1040,2204,0,1162,87,1249,28,20,4,612,352,130
KS0064,66939,267,0,0.25,0.25,4933,6086,11019,2647,10494,5731,151751,0,212,526,2093,524,3365,32,3921,92,52,0,797,440,0
KS0151,66948,260,0,0.3,0.45,4938,8051,17192,2897,19421,5099,151751,21,469,624,1244,306,1021,39,1366,131,64,38,455,310,38
KS0120,67448,391,0,0.38,0.38,7947,5712,14140,555,12951,4295,151751,74,470,788,2100,110,2229,0,2339,60,48,0,1059,975,0
KS0243,67565,265,0,0.45,0.45,8640,6166,15644,879,16074,5553,151751,129,1079,832,2488,875,3826,118,4819,122,74,24,797,487,203
KS0273,66966,345,0.26,0.79,0.82,23586,7299,31610,1760,20025,12316,151751,353,753,1096,5238,355,2221,16,2592,130,91,20,3853,2094,869
KS0195,67648,391,0,0.43,0.48,9622,7312,23197,1553,24265,5799,151751,150,736,988,3718,443,3441,50,3934,136,67,18,707,487,27
KS0108,67446,433,0,0.3,0.33,14164,5967,79831,1249,72775,5223,151751,34,595,676,520,373,2031,5,2409,44,39,3,301,244,11
KS0155,66949,398,0,0.28,0.49,14041,7315,21882,1453,19695,9779,151751,46,562,1040,2984,260,1532,7,1799,27,16,0,226,116,0
KS0067,67436,336,0,0.4,0.45,16691,7097,24509,2141,18870,7515,151756,69,900,936,1040,38,1057,5,1100,21,17,4,75,71,4
KS0163,66951,439,0,1,1.23,6900,8284,22608,3645,19290,15325,152007,194,443,2222,6886,410,8937,178,9525,191,191,0,2221,2221,0
KS0107,67445,453,0,0.45,0.45,12536,6938,19524,1060,12894,4982,151751,214,484,936,1780,190,1095,35,1320,40,20,10,336,192,22
KS0136,67430,447,0,0.48,0.48,12739,7044,21528,3835,17705,7323,151751,159,220,988,3900,48,3825,1,3874,71,59,0,506,386,0
KS0160,67454,461,0,0.4,0.4,12050,7275,19325,3542,25886,4083,151751,1,496,663,1570,404,1028,150,1582,18,18,0,298,298,0
KS0193,67646,542,0,0.4,0.43,11983,7468,20257,1837,20379,4482,151751,339,576,832,2660,805,2590,584,3979,53,28,6,725,555,12
KS0266,66938,652,0,0.72,0.77,19980,7304,30086,822,28099,8324,151751,86,1023,1144,6500,395,2863,10,3268,20,18,0,877,864,0
KS0171,67490,736,0,0.5,0.5,23750,7383,31766,1921,24710,4030,151751,22,583,1040,2612,95,2500,16,2611,33,24,6,187,133,18
KS0147,67525,718,0,0.53,0.62,30262,7575,42610,1504,29439,9338,151751,12,594,988,4192,990,6181,99,7270,87,50,7,1026,848,9
KS0201,66956,807,0,0.88,0.88,19825,10098,30221,2236,25235,11398,151751,142,930,1736,4196,1229,4115,97,5441,76,40,12,1366,374,101
KS0073,67437,822,0,0.75,0.75,24855,9574,35806,6756,27994,15087,151751,166,1360,1560,6816,1282,5916,1102,8300,24,16,8,145,125,20
KS0187,67455,1202,0,1.43,1.43,47322,10858,66581,3877,65353,10333,151878,116,1529,1956,12520,3939,19004,59,23002,73,59,6,2361,1957,182
KS0016,67548,1356,0,1.53,1.53,49272,10303,60587,8645,61372,12694,151751,363,1028,1690,11760,1036,8798,212,10046,33,27,6,670,644,26
KS0289,67669,1280,0,1.3,1.35,66159,10316,96975,17636,101798,13909,151751,252,885,2288,18856,621,12252,163,13036,125,125,0,2479,2479,0
KS0240,67473,1291,0,1.86,2.06,78941,10358,98372,16642,101889,15657,151751,530,1128,2236,17393,2373,20155,338,22866,146,95,29,3390,2633,486
KS0215,67467,1933,0,1.63,1.73,60605,9730,81617,11695,75761,21378,151751,140,1901,2392,16908,1239,11340,210,12789,105,93,0,1610,1464,0
KS0281,66967,1581,0,1.93,1.93,78404,9951,103421,4950,78411,13588,151751,210,352,2132,8184,938,12755,147,13840,36,27,0,928,491,0
KS0080,67637,2029,0,1,1.15,67782,8489,80468,10751,77178,17198,151751,175,424,2080,5969,1080,3443,116,4639,16,16,0,80,80,0
KS0256,67663,1837,0,1.88,2.41,135520,10753,154746,13301,148797,15140,151751,224,681,2522,15477,3229,13592,321,17142,211,140,26,2834,2318,208
KS0150,67439,2999,0,1,2.75,174125,12233,199403,19282,167104,19816,151751,557,1369,2288,13998,1371,14708,806,16885,201,61,8,1624,965,24
KS0079,67526,1969,1,3.28,3.28,16331,12491,36372,9999,27871,22561,151751,1235,1627,2795,25030,1310,18807,290,20407,287,248,17,10189,6485,2261
KS0021,66935,1887,0,3.2,3.5,161204,12687,212137,17167,199166,18830,151751,1134,2823,2496,23709,2330,40242,187,42759,312,138,13,4590,3396,121
KS0252,67661,2486,0,0.88,2.89,109634,12932,139653,22052,134523,18419,151751,541,2713,2288,15716,1596,21831,535,23962,87,72,9,2677,2143,209
KS0139,67544,2510,0.75,1.5,2.13,95625,12763,109527,20992,104268,19075,151948,841,862,1976,11354,1652,12785,378,14815,48,35,0,700,616,0
KS0257,67420,3726,1,3.7,4.11,224583,13415,242824,40676,195696,24472,151751,768,3782,2392,21205,1825,23149,54,25028,109,107,0,2009,1899,0
KS0270,67665,4463,0,1,3.23,157483,14271,187745,21672,179339,19033,151751,881,1027,2288,22248,1947,18939,733,21619,175,140,10,4201,3683,118
KS0097,66901,4956,1.33,2.55,3.55,236883,25124,274153,31365,262733,40977,151751,655,2923,3022,30029,3341,36194,579,40114,169,107,5,5162,4198,110
KS0158,67550,6562,0,4.13,4.51,218442,1902,224242,36313,224400,43513,151751,705,1359,2088,32688,4601,19493,0,24094,57,39,12,326,230,96
KS0117,67530,15170,1.25,1.25,10.85,721531,30154,755847,44338,688481,44359,151751,1497,4313,3004,112214,10559,121951,1712,134222,499,283,106,20865,15424,2661
KS0131,67601,20852,3,22.5,26.13,1728327,32794,1761121,222801,1615021,110167,153256,9132,15724,3380,173126,40541,180546,38761,259848,1713,976,334,41220,29138,3003
KS0271,67401,46716,7,7,38,2852905,50318,3065476,283651,2795270,212160,492092,20119,27493,3692,270684,52490,427054,18300,497844,2017,758,277,29181,18555,2205
KS0034,66840,208,0,0.3,0.3,13542,4219,18035,2066,15439,7675,108101,143,1150,728,3754,1062,2044,0,3106,127,62,31,492,228,55
KS0075,66849,255,0,0,0,2325,1457,4249,1517,2882,2493,108101,40,382,520,570,7,941,0,948,10,6,4,19,8,11
KS0081,66873,284,0,0.25,0.25,7026,1717,9086,1300,8687,5658,108101,3,405,520,1163,545,734,0,1279,76,38,19,226,79,27
KS0177,66449,436,0,0.43,0.43,4956,3786,8742,1399,14714,3568,108101,11,284,884,1496,7,728,0,735,16,15,1,106,100,6
KS0014,66403,401,0,0.3,0.33,14466,3710,18596,1250,15334,6244,108101,40,301,624,1645,261,1253,0,1514,12,12,0,76,76,0
KS0110,67053,501,0,0.62,0.63,27242,5214,34489,4904,28936,8665,108101,112,704,960,4989,358,7852,0,8210,67,53,3,1423,902,50
KS0140,67451,334,0,0.4,0.4,15200,1988,18909,1290,8208,2674,108101,0,252,820,320,49,1228,0,1277,28,27,0,287,267,0
KS0315,66872,569,0,0,0,11580,5561,21000,3423,15420,10220,108101,0,0,1380,4717,0,2309,0,2309,9,8,1,59,51,8
KS0093,66851,438,0.36,0.36,0.72,15545,1108,21535,1935,12295,3691,108101,40,687,754,1204,199,1263,0,1462,20,3,1,110,14,6
KS0052,66937,515,0,0.5,0.5,18755,4469,25211,3877,21782,3777,151751,0,140,1060,1723,952,1981,0,2933,42,42,0,455,455,0
KS0310,66548,639,0,0.7,0.7,36291,4950,41241,6320,25536,8224,151751,150,1615,1250,3958,225,6065,0,6290,15,13,1,383,360,8
KS0124,66945,651,0,0.55,0.55,24100,4808,28908,7473,21482,15648,151751,0,748,1040,6023,1475,9063,0,10538,15,14,0,141,118,0
KS0305,67487,932,0,5.5,5.6,51996,4631,57605,3400,58178,9919,108101,30,150,1300,6287,33,5647,0,5680,31,20,5,759,548,56
KS0084,67441,794,0,0.5,0.5,16304,5147,22317,2980,18724,15935,108101,0,443,1040,1964,8,1811,0,1819,10,10,1,255,255,8
KS0282,67480,1015,0,0.68,0.71,33206,6342,41182,3665,38919,14541,108101,0,505,1404,4197,127,2597,0,2724,58,58,0,844,844,0
KS0098,66427,695,0,1.28,1.28,55900,4835,60805,7175,60438,15956,151751,590,780,1664,8245,333,10563,0,10896,162,162,0,2413,2413,0
KS0181,66053,9107,2,3,9.3,816100,3974,830926,56495,788139,17673,109176,1683,3667,3016,50150,13851,63125,2904,79880,280,147,23,7174,4596,1045
KS0033,66845,1066,0,0.4,0.4,13772,6701,21094,5115,22346,10691,108101,46,105,832,2613,0,3047,0,3047,42,39,0,1045,951,0
KS0044,67431,1357,0,0.85,0.9,42732,7295,50027,9065,46139,12249,108101,82,793,1768,4831,139,8165,0,8304,56,18,5,445,244,18
KS0024,66411,963,0,0.5,0.5,25410,7342,37331,5663,33406,6918,108101,10,0,1040,7692,0,4245,0,4245,46,35,10,1211,991,170
KS0309,66968,1062,0,0.88,1.51,57718,6996,72896,8030,67421,18723,151751,129,103,1976,8260,2653,8730,0,11383,18,18,0,388,388,0
KS0082,66854,929,0,1,1,27570,365,28385,4124,35625,1664,108101,65,725,1150,7600,1258,19101,0,20359,317,202,77,1435,1255,78
KS0005,66835,1777,0,1.48,1.48,75764,811,77399,12744,70337,18503,108101,26,762,1638,4332,234,7966,0,8200,44,40,4,129,125,4
KS0251,66866,1297,0,0.7,0.73,63552,8802,74054,6108,58309,7398,108101,0,480,1092,3542,673,1681,0,2354,5,3,1,170,70,60
KS0202,66861,1787,0,1,2.13,90855,8003,106592,11187,91569,29397,151751,819,2046,2340,41980,2385,30518,0,32903,109,68,6,4330,1780,210
KS0063,66846,2079,0,2.03,2.03,83889,7754,108597,4705,123665,18827,108101,795,2570,2421,12642,2691,24271,0,26962,134,65,27,2133,1325,91
KS0138,67063,2834,0,2.85,2.9,74543,11568,93449,18350,105346,31809,151751,835,1749,2028,25500,4097,44585,0,48682,147,116,20,5064,2540,319
KS0135,67449,2304,0,0.85,2.09,82769,8685,95351,10208,113827,7987,151751,156,1437,2080,15054,967,13532,0,14499,145,79,16,3165,2310,485
KS0308,66547,4762,0,4.95,10.08,282286,2471,304260,29677,266951,17599,151779,1058,2503,2464,41083,6107,41460,0,47567,282,176,60,8445,7553,511
KS0207,66508,3268,0,3.75,3.75,247709,10407,269683,21304,263131,19936,151751,1079,1769,2366,27560,4284,38791,0,43075,307,233,21,5295,4656,247
KS0049,67432,3989,0,3.3,3.91,191933,9892,210394,27926,225232,35096,151751,433,1369,2704,29633,2647,53217,0,55864,258,103,63,5676,3345,946
KS0001,67410,6300,1.36,6.43,6.89,492171,11967,518275,32061,496621,51454,151751,1318,3971,2652,52787,9607,73541,0,83148,191,139,4,5927,5265,65
KS0258,66536,26409,1.3,10.99,11.14,568679,9254,587393,74591,590880,120537,151751,4648,5517,9906,42016,6235,53186,0,59421,1093,957,10,12219,11400,265
KS0071,66441,32594,2,4,18,909400,10721,991822,111971,1031062,59406,151811,2225,4827,3588,99839,9269,97160,9433,115862,474,265,52,12595,9355,1891
KS0083,66801,29552,7,9.75,15.9,1060664,8539,1107872,86384,955075,60897,151751,2124,5829,3146,115052,17188,150358,0,167546,597,518,23,17271,15888,549
KS0200,66502,54959,8,20.68,43.26,3338981,22616,3797478,435453,3575253,106361,153912,7865,11582,3796,361772,80779,695208,38189,814176,697,444,81,30471,22775,2999
KS0062,66417,163,0,0.38,0.38,7950,8467,16417,2097,9839,4732,108101,48,403,728,890,0,845,48,893,10,10,0,193,193,0
KS0314,66550,362,0,0.51,0.51,7052,12346,20934,2709,20934,8578,108101,177,1278,962,4791,432,3740,23,4195,17,9,4,401,296,12
KS0268,66080,458,0,0.68,0.88,16068,13466,40348,5516,43684,5801,108101,25,1621,1476,5511,356,5398,128,5882,200,90,33,1106,483,114
KS0042,66415,517,0,0.41,0.84,34057,17318,51765,6300,34041,7242,108101,314,829,1742,3356,97,5236,236,5569,279,8,0,1613,483,0
KS0318,66097,1143,0,1.05,1.23,30591,17524,50476,5776,41367,13399,108101,123,1030,2184,4512,537,5119,439,6095,277,262,0,1244,1178,0
KS0017,66424,492,0,0.5,0.53,13290,12373,25663,5910,32175,10109,108101,115,926,1092,1334,224,5105,0,5329,44,35,5,312,249,39
KS0078,66023,521,0,0.73,0.73,28989,12437,48680,4668,42758,7957,108101,21,770,1456,2321,515,3827,175,4517,24,13,11,196,132,64
KS0214,66512,4502,0,1,3.25,283312,3267,296373,32034,255758,13032,151751,608,2763,2678,22336,1279,32783,790,34852,348,272,16,8198,7078,297
KS0245,66524,1022,1,1.43,2.01,83354,21817,134034,14126,128350,14829,108101,805,4666,2310,12276,590,18324,593,19507,64,60,1,1212,1081,21
KS0234,66060,905,0,0.88,1.53,51614,17296,71146,8750,61901,15091,108101,283,4671,1664,31000,388,6287,109,6784,60,43,17,622,525,97
KS0032,66413,890,0,1.38,1.38,53060,17453,77515,7998,79588,10562,108101,603,2449,1650,9987,317,13121,294,13732,91,49,10,1454,1098,95
KS0313,66092,1801,0,1.9,1.9,96259,18115,117576,13686,107751,18824,108213,330,3181,2080,14310,629,35609,0,36238,143,57,8,3497,2300,183
KS0040,66414,1377,0.85,0.85,1.3,43291,17471,62101,9700,70727,7854,108101,143,1555,1768,7850,150,7321,211,7682,56,39,0,1290,733,0
KS0196,66451,1497,0,1.65,1.68,70896,18286,99328,16250,90879,11693,108101,472,2494,2040,9006,424,16034,558,17016,128,95,0,1069,799,0
KS0269,66533,1896,0,2.45,2.5,110155,1575,165750,12250,134071,11137,108101,428,3687,2428,45533,337,25046,1031,26414,257,175,31,5579,4447,207
KS0141,66439,1688,0.85,0.85,1.7,63674,17375,82691,8220,74288,11619,108101,183,1640,1768,12526,298,4861,256,5415,73,58,9,582,510,56
KS0191,66052,4325,1,1,3,251555,2536,261436,28768,237237,9811,151787,516,2936,2723,10958,1735,15982,523,18240,508,84,24,4166,1162,156
KS0241,66066,2136,0.9,0.9,1.83,62274,17502,86522,11310,92882,8757,108228,413,714,2080,12047,1720,16359,831,18910,85,75,0,2055,1975,5
KS0280,66539,2014,0.9,3.5,3.5,110000,1637,181047,17200,163201,8630,108101,165,1277,2652,11961,72,17426,599,18097,162,126,10,3011,2775,39
KS0066,66088,1886,0.98,0.98,1.48,59775,17039,79314,9159,83334,9245,108101,118,1570,2534,10078,233,7542,151,7926,76,66,6,321,271,18
KS0294,66086,5524,1,3,5.5,369099,28922,399860,26477,337208,23177,151751,1353,3215,3328,64685,3764,36571,2811,43146,1563,813,366,52081,30953,14157
KS0204,66534,2564,0,1,2.94,142740,22648,173685,32374,165432,28450,151751,1316,2345,2652,20977,2393,49515,1586,53494,76,60,13,1820,1665,90
KS0277,66538,2052,0,1,2.35,126266,23696,163554,29721,155470,19046,151751,1683,3756,2652,20985,2493,36307,2448,41248,70,62,0,988,856,0
KS0185,66523,2821,1,2,3.8,161483,22926,205916,29743,200813,18280,108101,1614,3005,2652,41240,491,40977,1460,42928,265,206,6,2877,1967,145
KS0015,66006,4691,0.68,1.7,3.58,150640,24410,183365,27540,190214,21710,108101,1020,2445,2808,22985,2984,42884,2608,48476,238,158,31,7606,5998,416
KS0018,66007,11265,2.2,9.7,11,978806,8910,1036216,113689,853470,54115,151751,2394,8070,3328,81353,8426,158536,6412,173374,896,384,135,26943,15121,6624
KS0221,66434,3134,1,5.6,5.6,144164,26830,262994,41460,311794,28364,152062,679,1588,3172,35296,4313,56961,1275,62549,379,172,19,4776,2532,49
KS0087,66025,7755,2,6.3,6.53,354953,25711,405116,38009,309639,13452,151751,506,2057,2704,48011,6397,38520,4747,49664,369,232,68,9512,5688,1663
KS0248,66071,5670,1,6.03,6.21,275716,27514,346855,34701,308556,27865,108101,1277,1828,3120,25200,2836,47014,1593,51443,287,150,14,5629,4662,396
KS0239,66064,4266,0,1,4.45,138100,22186,160286,18011,162986,19353,108101,541,2582,2392,25681,702,29244,287,30233,630,444,149,5132,3209,1278
KS0182,66072,2135,0,2,2,70109,5575,79676,4800,80978,8734,108101,379,2282,2008,8349,212,5596,181,5989,115,77,29,829,634,97
KS0025,66012,7804,2,3,8.53,625246,7894,674021,91726,658185,45786,151751,2371,4759,3328,113011,9604,103408,6773,119785,584,368,28,16210,12759,1890
KS0180,66833,1148,0,0.5,0.5,42483,557,43612,5177,28467,9479,108101,174,498,1196,1112,219,1697,0,1916,70,53,17,333,282,51
KS0244,66067,12267,2.36,2.36,13.31,924822,40833,999100,113010,939690,56960,108101,2318,5480,2912,135305,3881,116346,3494,123721,966,642,50,13223,10797,617
KS0010,66002,10560,2,5,13.5,535555,39718,587008,69353,554102,50444,151751,2858,5837,2964,80254,5187,86641,3303,95131,237,108,24,3702,2555,414
KS0173,66048,36062,4.5,5.5,20.65,1274860,78544,1425860,167110,1370302,74760,151751,3155,9235,3536,116176,15821,196362,15123,227306,592,385,81,10975,9052,422
KS0238,66061,139605,15.58,15.58,61.27,6323571,39152,6693303,781714,6641532,152707,125538,11990,34644,6233,494937,152773,1360973,35545,1549291,1555,718,511,31183,17830,8057
KS0172,66044,97286,20.9,20.9,67.44,4460753,119445,5116756,712442,5030994,145813,132185,17960,21513,3796,639430,120669,1069690,199968,1390327,1378,839,203,52851,37417,5560
KS0295,66604,173589,29,35,182.48,16189390,49629,19917901,1751242,20224488,203451,176245,21064,62372,11771,715507,356625,1791768,127316,2275709,1914,1581,16,46820,35470,625
KS0161,66101,157520,25,25,127.48,8481784,44857,11450345,1088268,9054439,376530,182505,40652,89770,17472,618406,11236,834307,386288,1231831,4273,2190,416,71849,42292,9618
KS0156,66212,450146,52.82,54.5,251.02,36609739,126997,38266873,3322646,37665795,846306,183849,88042,136652,40853,2397326,522623,7598224,269136,8389983,2794,2032,217,91822,66387,6738
KS0112,67736,70,0,0.23,0.23,6698,3021,9754,350,8009,7685,108101,245,1400,441,3885,0,1480,0,1480,10,10,0,151,151,0
KS0153,67643,92,0,0.26,0.26,4456,3826,9968,1003,8960,2947,151751,153,45,402,1481,403,2410,112,2925,15,6,3,509,87,45
KS0231,67653,146,0,0,0,3285,3042,6520,1273,1658,2323,151751,125,870,700,400,455,264,0,719,15,10,5,95,70,25
KS0219,67738,231,0,0.15,0.15,4400,3068,7468,1582,8160,6465,108101,0,0,312,1120,163,725,0,888,4,4,0,34,34,0
KS0114,67737,245,0,0.23,0.23,4640,2822,7462,616,6379,4203,151751,44,99,468,460,551,362,159,1072,25,24,0,377,322,0
KS0175,67645,235,0,0.43,0.43,7526,3867,18167,105,9295,5086,151751,112,207,780,1895,240,1000,351,1591,34,15,7,210,48,32
KS0205,67731,434,0,0.44,0.47,15850,4975,26475,1487,14647,10806,151751,198,1216,892,3067,529,1769,367,2665,9,9,0,208,208,0
KS0002,67622,383,0,0.35,0.35,7053,3910,11752,101,11570,6543,151751,0,164,728,2080,295,845,12,1152,55,55,0,420,420,0
KS0152,67752,1021,0,1.42,2.09,80003,4984,93155,8512,89971,14777,151751,576,1282,2138,14470,887,12268,465,13620,213,80,13,2105,1616,89
KS0278,67758,752,0,1.1,1.1,53227,3718,57767,5626,38053,8498,151751,121,4,2185,8229,613,3570,728,4911,119,80,0,1828,1445,0
KS0285,67756,1294,0,1.4,1.5,44307,6611,54585,6254,48552,13819,151751,243,580,1825,10093,600,7754,523,8877,101,74,7,891,650,12
KS0236,67748,2108,0,3,3,203000,8397,216476,16522,178203,13811,151753,554,735,2600,14922,1633,19483,13830,34946,498,457,0,4820,3395,0
KS0237,67749,1725,0,0.76,2.22,64272,4994,74505,7363,66964,15103,151751,588,1938,2860,15600,1787,28997,604,31388,175,51,3,1425,491,108
KS0233,67654,2768,0,3.25,4.05,154977,6290,182954,17262,181367,55933,151751,1555,1622,2912,74499,3562,33981,5722,43265,533,328,145,4536,3161,198
KS0279,67740,2533,0,1.63,1.68,57974,5894,375751,3488,79252,23250,151751,602,1575,2048,8507,961,16693,379,18033,84,80,0,1097,1014,0
KS0012,67730,2508,0.88,0.88,1.48,55616,711,81747,10511,67264,16113,151751,267,850,2314,10192,2133,11122,0,13255,189,100,51,2200,1484,531
KS0113,67642,2492,0,1,2.18,123536,711,129273,10754,114120,28211,151751,499,1479,2418,18446,1995,12737,0,14732,115,80,1,1328,918,35
KS0304,67672,1738,0,1.68,1.78,76092,1310,79134,4627,59780,18912,151751,444,1312,1560,13486,1322,6067,108,7497,32,24,5,576,535,20
KS0111,67735,4386,0,3.85,4.15,208864,6756,270869,33874,270869,36227,151751,1562,1550,2900,49560,3627,49716,1851,55194,1369,795,254,16933,10944,3330
KS0253,67701,5317,1,1,7.65,295835,8902,361402,24321,354499,40783,151751,2222,2115,3094,68174,5301,51244,2734,59279,1197,495,319,16061,8265,3893
FSCS0001,67159,151,0,0.31,0.31,7577,3741,12255,945,11951,5416,108101,5,889,572,1308,2,1020,0,1022,7,7,0,53,53,0
KS0250,67566,242,0,0.5,0.71,17000,1267,18675,2125,25313,7213,108101,438,1046,1040,3233,0,6473,0,6473,44,37,7,483,450,33
KS0307,67151,231,0,0.2,0.2,6514,2155,8669,6217,8060,3135,108101,24,869,1645,2847,86,767,0,853,12,6,3,58,42,7
KS0293,67581,206,0,0.25,0.25,2411,2648,7208,745,6817,4157,108101,35,189,565,1577,0,440,0,440,12,8,4,96,58,14
KS0126,67057,158,0,0.3,0.3,4637,4876,13828,1861,12461,12639,108414,336,6049,624,1597,158,3277,0,3435,42,24,5,323,207,12
KS0105,67444,257,0,0.38,0.38,9558,3816,13853,291,10922,2651,108101,0,52,780,640,94,922,0,1016,30,30,0,106,106,0
KS0302,67149,487,0,0.3,0.36,7693,3369,14584,1087,8388,3978,108101,6,88,624,756,950,595,0,1545,51,28,6,173,104,4
KS0235,67118,450,0,0.28,0.28,10551,4350,14901,2963,11680,5284,151751,16,76,523,3174,986,6336,0,7322,23,10,1,428,311,18
KS0192,67457,706,0,0.76,0.76,15484,203,16023,4117,24267,13818,108101,0,0,1456,1948,816,0,0,816,80,38,0,200,149,0
KS0298,67583,372,0,0.38,0.38,10925,2875,13800,4360,12583,7755,108101,51,162,780,1404,135,851,0,986,33,20,9,104,83,14
KS0091,67427,359,0,0.9,0.9,7893,104,8253,2094,7165,11742,108101,0,0,1984,13669,84,0,0,84,0,0,0,0,0,0
